date,open,close,change,change_rate,price_date,change_rate_new,c_return
2020-03-23,9025.55,8890.03,-344.06,-3.87,2020-03-23,-0.0387,-0.0387
2020-03-24,9083.78,9285.62,395.59,4.26,2020-03-24,0.0426,0.002251379999999914
2020-03-25,9426.43,9644.75,359.13,3.72,2020-03-25,0.037200000000000004,0.03953513133599973
2020-03-26,9667.14,9736.36,91.61,0.94,2020-03-26,0.009399999999999999,0.049306761570558244
2020-03-27,9807.9,9698.92,-37.44,-0.39,2020-03-27,-0.0039000000000000003,0.04521446520043315
2020-03-30,9571.22,9629.43,-69.49,-0.72,2020-03-30,-0.0072,0.03768892105099009
2020-03-31,9689.62,9708.06,78.63,0.81,2020-03-31,0.008100000000000001,0.0460942013115031
2020-04-01,9726.2,9663.63,-44.43,-0.46,2020-04-01,-0.0046,0.04128216798547024
2020-04-06,9707.75,9818.74,155.11,1.58,2020-04-06,0.0158,0.057734426239640646
2020-04-07,9928.16,9996.39,177.65,1.78,2020-04-07,0.0178,0.07656209902670619
2020-04-08,10010.64,10137.47,141.08,1.39,2020-04-08,0.0139,0.09152631220317753
2020-04-09,10173.26,10119.43,-18.04,-0.18,2020-04-09,-0.0018,0.0895615648412118
2020-04-10,10105.43,10157.61,38.18,0.38,2020-04-10,0.0038,0.09370189878760837
2020-04-13,10147.56,10099.22,-58.39,-0.58,2020-04-13,-0.0058,0.0873584277746402
2020-04-14,10130.65,10332.94,233.72,2.26,2020-04-14,0.0226,0.11193272824234701
2020-04-15,10366.77,10447.21,114.27,1.09,2020-04-15,0.0109,0.1240527949801884
2020-04-16,10385.78,10375.48,-71.73,-0.69,2020-04-16,-0.0069,0.1162968306948251
2020-04-17,10554.55,10597.04,221.56,2.09,2020-04-17,0.0209,0.13962743445634684
2020-04-20,10612.45,10586.71,-10.33,-0.1,2020-04-20,-0.001,0.13848780702189045
2020-04-21,10544.8,10288.42,-298.29,-2.9,2020-04-21,-0.028999999999999998,0.10547166061825552
2020-04-22,10256.11,10307.74,19.32,0.19,2020-04-22,0.0019,0.10757205677343018
2020-04-23,10370.13,10366.51,58.77,0.57,2020-04-23,0.005699999999999999,0.11388521749703884
2020-04-24,10367.97,10347.36,-19.15,-0.19,2020-04-24,-0.0019,0.11176883558379447
2020-04-27,10407.49,10567.27,219.91,2.08,2020-04-27,0.0208,0.1348936273639374
2020-04-28,10580.25,10616.06,48.79,0.46,2020-04-28,0.0046,0.14011413804981143
2020-04-29,10656.4,10772.22,156.16,1.45,2020-04-29,0.014499999999999999,0.1566457930515337
2020-04-30,10826.26,10992.14,219.92,2.0,2020-04-30,0.02,0.17977870891256442
2020-05-04,10781.51,10720.48,-271.66,-2.53,2020-05-04,-0.0253,0.1499303075770766
2020-05-05,10756.95,10774.61,54.13,0.5,2020-05-05,0.005,0.1556799591149618
2020-05-06,10771.09,10774.98,0.37,0.0,2020-05-06,0.0,0.1556799591149618
2020-05-07,10778.53,10842.92,67.94,0.63,2020-05-07,0.0063,0.16296074285738604
2020-05-08,10883.22,10901.42,58.5,0.54,2020-05-08,0.0054,0.16924073086881597
2020-05-11,10942.18,11013.26,111.84,1.02,2020-05-11,0.0102,0.18116698632367778
2020-05-12,10974.51,10879.47,-133.79,-1.23,2020-05-12,-0.0123,0.16663863239189647
2020-05-13,10861.01,10938.27,58.8,0.54,2020-05-13,0.0054,0.17293848100681286
2020-05-14,10894.17,10780.88,-157.39,-1.46,2020-05-14,-0.0146,0.15581357918411354
2020-05-15,10833.16,10814.92,34.04,0.31,2020-05-15,0.0031,0.15939660127958444
2020-05-18,10753.21,10740.55,-74.37,-0.69,2020-05-18,-0.0069,0.15139676473075525
2020-05-19,10812.79,10860.44,119.89,1.1,2020-05-19,0.011000000000000001,0.1640621291427935
2020-05-20,10892.76,10907.8,47.36,0.43,2020-05-20,0.0043,0.16906759629810741
2020-05-21,10933.21,11008.31,100.51,0.91,2020-05-21,0.0091,0.17970611142442028
2020-05-22,10977.55,10811.15,-197.16,-1.82,2020-05-22,-0.0182,0.15823546019649593
2020-05-25,11601.55,11573.62,17.7,0.15,2020-05-25,0.0015,0.1599728133867908
2020-05-26,10903.32,10997.21,126.03,1.15,2020-05-26,0.0115,0.173312500740739
2020-05-27,11023.93,11014.66,17.45,0.16,2020-05-27,0.0016,0.17518980074192414
2020-05-28,11040.62,10944.19,-70.47,-0.64,2020-05-28,-0.0064,0.16766858601717582
2020-05-29,10921.16,10942.16,-2.03,-0.02,2020-05-29,-0.0002,0.16743505229997235
2020-06-01,10971.4,11079.02,136.86,1.24,2020-06-01,0.0124,0.18191124694849203
2020-06-02,11109.27,11127.93,48.91,0.44,2020-06-02,0.0044,0.18711165643506544
2020-06-03,11182.52,11320.16,192.23,1.7,2020-06-03,0.017,0.2072925545944615
2020-06-04,11373.94,11393.23,73.07,0.64,2020-06-04,0.0064,0.215019226943866
2020-06-05,11418.01,11479.4,86.17,0.75,2020-06-05,0.0075,0.22413187114594502
2020-06-08,11539.0,11610.32,130.92,1.13,2020-06-08,0.0113,0.2379645612898944
2020-06-09,11600.61,11637.11,26.79,0.23,2020-06-09,0.0023,0.24081187978086116
2020-06-10,11635.99,11720.16,83.05,0.71,2020-06-10,0.0070999999999999995,0.24962164412730536
2020-06-11,11738.49,11535.77,-184.39,-1.6,2020-06-11,-0.016,0.22962769782126835
2020-06-12,11406.54,11429.94,-105.83,-0.93,2020-06-12,-0.009300000000000001,0.21819216023153065
2020-06-15,11436.28,11306.26,-123.68,-1.09,2020-06-15,-0.0109,0.2049138656850069
2020-06-16,11380.67,11511.64,205.38,1.78,2020-06-16,0.0178,0.22636133249419998
2020-06-17,11525.5,11534.59,22.95,0.2,2020-06-17,0.002,0.2288140551591884
