data,time,real_time,timesplit,str_timesplit,hour,weekday,price_date,all_return,c_return
"[{'query': '毛寶', 'score': 9.25, 'category': 'stock', 'num': '1732', 'change_rate': -1, 'change_rate_new': -0.01, 'open': 30.7, 'close': 29.8}, {'query': '統一FANG+', 'score': 8.75, 'category': 'stock', 'num': '00757', 'change_rate': 9.06, 'change_rate_new': 0.0906, 'open': 20.58, 'close': 20.82}, {'query': '神盾', 'score': 8.25, 'category': 'stock', 'num': '6462', 'change_rate': 6.34, 'change_rate_new': 0.0634, 'open': 142, 'close': 142.5}, {'query': '超眾', 'score': 7.25, 'category': 'stock', 'num': '6230', 'change_rate': 2.74, 'change_rate_new': 0.0274, 'open': 224, 'close': 225}]",2020-03-23T05:01:49.800Z,2020-03-23 13:01:49.800,2020-03-23 00:00:00.000,2020-03-23,13,0,2020-03-23,0.042850000000000006,0.042850000000000006
"[{'query': '統一FANG+', 'score': 10, 'category': 'stock', 'num': '00757', 'change_rate': 3.36, 'change_rate_new': 0.0336, 'open': 22.95, 'close': 21.52}, {'query': '毛寶', 'score': 8.25, 'category': 'stock', 'num': '1732', 'change_rate': -1.34, 'change_rate_new': -0.0134, 'open': 30.3, 'close': 29.4}, {'query': '超眾', 'score': 7.75, 'category': 'stock', 'num': '6230', 'change_rate': -2.22, 'change_rate_new': -0.0222, 'open': 231.5, 'close': 220}, {'query': '神盾', 'score': 7.75, 'category': 'stock', 'num': '6462', 'change_rate': 4.91, 'change_rate_new': 0.049100000000000005, 'open': 148, 'close': 149.5}]",2020-03-24T05:01:59.937Z,2020-03-24 13:01:59.937,2020-03-24 00:00:00.000,2020-03-24,13,1,2020-03-24,0.011775,0.05512955875000025
"[{'query': '街口S&P布蘭特正2', 'score': 9.25, 'category': 'stock', 'num': '00715L', 'change_rate': -7.98, 'change_rate_new': -0.07980000000000001, 'open': 4.22, 'close': 3.92}, {'query': '統一FANG+', 'score': 9, 'category': 'stock', 'num': '00757', 'change_rate': -0.23, 'change_rate_new': -0.0023, 'open': 21.6, 'close': 21.47}, {'query': '毛寶', 'score': 7.75, 'category': 'stock', 'num': '1732', 'change_rate': 0.17, 'change_rate_new': 0.0017000000000000001, 'open': 29.4, 'close': 29.45}, {'query': '昇達科', 'score': 6.5, 'category': 'stock', 'num': '3491', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 65.9, 'close': 66}]",2020-03-25T05:01:53.975Z,2020-03-25 13:01:53.975,2020-03-25 00:00:00.000,2020-03-25,13,2,2020-03-25,-0.0201,0.033921454619125324
"[{'query': '街口S&P布蘭特正2', 'score': 9.75, 'category': 'stock', 'num': '00715L', 'change_rate': -3.57, 'change_rate_new': -0.035699999999999996, 'open': 3.6, 'close': 3.78}, {'query': '統一FANG+', 'score': 8.25, 'category': 'stock', 'num': '00757', 'change_rate': 1.02, 'change_rate_new': 0.0102, 'open': 22.29, 'close': 21.69}, {'query': '復盛應用', 'score': 7, 'category': 'stock', 'num': '6670', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 159, 'close': 157}, {'query': '元大台灣50正2', 'score': 7, 'category': 'stock', 'num': '00631L', 'change_rate': -0.9, 'change_rate_new': -0.009000000000000001, 'open': 35.85, 'close': 33.99}]",2020-03-26T05:01:56.825Z,2020-03-26 13:01:56.825,2020-03-26 00:00:00.000,2020-03-26,13,3,2020-03-26,-0.008624999999999999,0.02500388207303539
"[{'query': '街口S&P布蘭特正2', 'score': 9.25, 'category': 'stock', 'num': '00715L', 'change_rate': -4.76, 'change_rate_new': -0.047599999999999996, 'open': 3.42, 'close': 3.6}, {'query': '旭富', 'score': 8.25, 'category': 'stock', 'num': '4119', 'change_rate': 3.03, 'change_rate_new': 0.030299999999999997, 'open': 134, 'close': 136}, {'query': '統一FANG+', 'score': 8, 'category': 'stock', 'num': '00757', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 21.48, 'close': 21.69}, {'query': '元大台灣50正2', 'score': 7.5, 'category': 'stock', 'num': '00631L', 'change_rate': -0.85, 'change_rate_new': -0.0085, 'open': 32.49, 'close': 33.7}]",2020-03-27T05:01:51.590Z,2020-03-27 13:01:51.590,2020-03-27 00:00:00.000,2020-03-27,13,4,2020-03-27,-0.00645,0.01839260703366441
"[{'query': '健亞', 'score': 10, 'category': 'stock', 'num': '4130', 'change_rate': -6.54, 'change_rate_new': -0.0654, 'open': 29.5, 'close': 28.6}, {'query': '旭富', 'score': 8.25, 'category': 'stock', 'num': '4119', 'change_rate': 1.84, 'change_rate_new': 0.0184, 'open': 138, 'close': 138.5}, {'query': '緯創', 'score': 7.25, 'category': 'stock', 'num': '3231', 'change_rate': 2.73, 'change_rate_new': 0.0273, 'open': 24.05, 'close': 24.5}, {'query': '元大台灣50正2', 'score': 6.5, 'category': 'stock', 'num': '00631L', 'change_rate': 0.71, 'change_rate_new': 0.0070999999999999995, 'open': 34.6, 'close': 33.94}]",2020-03-30T05:02:09.960Z,2020-03-30 13:02:09.960,2020-03-30 00:00:00.000,2020-03-30,13,0,2020-03-30,-0.00315,0.015184670321508387
"[{'query': '宏碁', 'score': 9.5, 'category': 'stock', 'num': '2353', 'change_rate': 0.32, 'change_rate_new': 0.0032, 'open': 15.75, 'close': 15.65}, {'query': '緯創', 'score': 7.25, 'category': 'stock', 'num': '3231', 'change_rate': -0.41, 'change_rate_new': -0.0040999999999999995, 'open': 24.5, 'close': 24.4}, {'query': '元大台灣50正2', 'score': 6.75, 'category': 'stock', 'num': '00631L', 'change_rate': 0.09, 'change_rate_new': 0.0009, 'open': 34.04, 'close': 33.97}, {'query': '和碩', 'score': 6.25, 'category': 'stock', 'num': '4938', 'change_rate': 0.69, 'change_rate_new': 0.0069, 'open': 58, 'close': 58.4}]",2020-03-31T05:01:53.475Z,2020-03-31 13:01:53.475,2020-03-31 00:00:00.000,2020-03-31,13,1,2020-03-31,0.0017250000000000002,0.016935863877812984
"[{'query': '王品', 'score': 9.5, 'category': 'stock', 'num': '2727', 'change_rate': -1.64, 'change_rate_new': -0.016399999999999998, 'open': 61, 'close': 60}, {'query': '宏碁', 'score': 8.5, 'category': 'stock', 'num': '2353', 'change_rate': 1.28, 'change_rate_new': 0.0128, 'open': 16, 'close': 15.85}, {'query': '健亞', 'score': 7.25, 'category': 'stock', 'num': '4130', 'change_rate': 0.17, 'change_rate_new': 0.0017000000000000001, 'open': 31.6, 'close': 29.7}, {'query': '技嘉', 'score': 7.25, 'category': 'stock', 'num': '2376', 'change_rate': -0.19, 'change_rate_new': -0.0019, 'open': 53, 'close': 52.4}]",2020-04-01T05:02:06.127Z,2020-04-01 13:02:06.127,2020-04-01 00:00:00.000,2020-04-01,13,2,2020-04-01,-0.0009499999999999992,0.015969774807129022
"[{'query': '潤泰新', 'score': 9.25, 'category': 'stock', 'num': '9945', 'change_rate': -1.55, 'change_rate_new': -0.0155, 'open': 42, 'close': 41.3}, {'query': '裕隆', 'score': 8.5, 'category': 'stock', 'num': '2201', 'change_rate': 6.11, 'change_rate_new': 0.0611, 'open': 15.9, 'close': 16.5}, {'query': '立積', 'score': 7.75, 'category': 'stock', 'num': '4968', 'change_rate': 3.62, 'change_rate_new': 0.0362, 'open': 142, 'close': 143}, {'query': '王品', 'score': 7.5, 'category': 'stock', 'num': '2727', 'change_rate': 0.33, 'change_rate_new': 0.0033, 'open': 60.8, 'close': 60.2}]",2020-04-06T05:01:29.191Z,2020-04-06 13:01:29.191,2020-04-06 00:00:00.000,2020-04-06,13,0,2020-04-06,0.021275000000000002,0.03758453176615073
"[{'query': '正崴', 'score': 9, 'category': 'stock', 'num': '2392', 'change_rate': 0.29, 'change_rate_new': 0.0029, 'open': 34.65, 'close': 35}, {'query': '松翰', 'score': 8.5, 'category': 'stock', 'num': '5471', 'change_rate': -0.23, 'change_rate_new': -0.0023, 'open': 44.1, 'close': 43.4}, {'query': '潤泰新', 'score': 8.25, 'category': 'stock', 'num': '9945', 'change_rate': 1.09, 'change_rate_new': 0.0109, 'open': 41.3, 'close': 41.75}, {'query': '瑞儀', 'score': 7, 'category': 'stock', 'num': '6176', 'change_rate': 5.69, 'change_rate_new': 0.056900000000000006, 'open': 85.4, 'close': 89.2}]",2020-04-07T05:01:35.053Z,2020-04-07 13:01:35.053,2020-04-07 00:00:00.000,2020-04-07,13,1,2020-04-07,0.0171,0.05532722725935191
"[{'query': '瑞儀', 'score': 9.25, 'category': 'stock', 'num': '6176', 'change_rate': -1.35, 'change_rate_new': -0.013500000000000002, 'open': 90.1, 'close': 88}, {'query': '正崴', 'score': 8.5, 'category': 'stock', 'num': '2392', 'change_rate': -1.71, 'change_rate_new': -0.0171, 'open': 35, 'close': 34.4}, {'query': '康那香', 'score': 7.5, 'category': 'stock', 'num': '9919', 'change_rate': 0.52, 'change_rate_new': 0.0052, 'open': 19.6, 'close': 19.5}, {'query': '松翰', 'score': 7.25, 'category': 'stock', 'num': '5471', 'change_rate': 1.5, 'change_rate_new': 0.015, 'open': 46.1, 'close': 44.05}]",2020-04-08T05:01:56.406Z,2020-04-08 13:01:56.406,2020-04-08 00:00:00.000,2020-04-08,13,2,2020-04-08,-0.0026000000000000007,0.05258337646847755
"[{'query': '旺宏', 'score': 9.75, 'category': 'stock', 'num': '2337', 'change_rate': 0.16, 'change_rate_new': 0.0016, 'open': 31.2, 'close': 31.25}, {'query': '瑞儀', 'score': 7.75, 'category': 'stock', 'num': '6176', 'change_rate': 2.39, 'change_rate_new': 0.0239, 'open': 88, 'close': 90.1}, {'query': '松翰', 'score': 7.75, 'category': 'stock', 'num': '5471', 'change_rate': 1.02, 'change_rate_new': 0.0102, 'open': 44.5, 'close': 44.5}, {'query': '康那香', 'score': 7.5, 'category': 'stock', 'num': '9919', 'change_rate': 0.26, 'change_rate_new': 0.0026, 'open': 19.8, 'close': 19.55}]",2020-04-09T05:01:30.637Z,2020-04-09 13:01:30.637,2020-04-09 00:00:00.000,2020-04-09,13,3,2020-04-09,0.009575,0.06266186229816317
"[{'query': '旺宏', 'score': 10, 'category': 'stock', 'num': '2337', 'change_rate': -1.6, 'change_rate_new': -0.016, 'open': 31.25, 'close': 30.75}, {'query': '奇力新', 'score': 8.5, 'category': 'stock', 'num': '2456', 'change_rate': -1.15, 'change_rate_new': -0.0115, 'open': 95.6, 'close': 94.5}, {'query': '瑞儀', 'score': 7.5, 'category': 'stock', 'num': '6176', 'change_rate': -0.11, 'change_rate_new': -0.0011, 'open': 89.4, 'close': 90}, {'query': '松翰', 'score': 6.25, 'category': 'stock', 'num': '5471', 'change_rate': 2.92, 'change_rate_new': 0.0292, 'open': 45.4, 'close': 45.8}]",2020-04-10T05:01:35.810Z,2020-04-10 13:01:35.810,2020-04-10 00:00:00.000,2020-04-10,13,4,2020-04-10,0.00014999999999999996,0.06282126157750789
"[{'query': '大宇資', 'score': 10, 'category': 'stock', 'num': '6111', 'change_rate': 1.23, 'change_rate_new': 0.0123, 'open': 64.9, 'close': 65.7}, {'query': '旺宏', 'score': 8.75, 'category': 'stock', 'num': '2337', 'change_rate': 1.63, 'change_rate_new': 0.0163, 'open': 31, 'close': 31.25}, {'query': '聯電', 'score': 7.5, 'category': 'stock', 'num': '2303', 'change_rate': 2.36, 'change_rate_new': 0.0236, 'open': 15.05, 'close': 15.15}, {'query': '南亞科', 'score': 6.25, 'category': 'stock', 'num': '2408', 'change_rate': 1.51, 'change_rate_new': 0.0151, 'open': 60.4, 'close': 60.7}]",2020-04-13T05:01:32.385Z,2020-04-13 13:01:32.385,2020-04-13 00:00:00.000,2020-04-13,13,0,2020-04-13,0.016825,0.08070322930354945
"[{'query': '明泰', 'score': 9.5, 'category': 'stock', 'num': '3380', 'change_rate': -0.71, 'change_rate_new': -0.0070999999999999995, 'open': 21.1, 'close': 20.9}, {'query': '大宇資', 'score': 7.75, 'category': 'stock', 'num': '6111', 'change_rate': -2.44, 'change_rate_new': -0.024399999999999998, 'open': 66, 'close': 64.1}, {'query': '聯電', 'score': 7.5, 'category': 'stock', 'num': '2303', 'change_rate': -0.33, 'change_rate_new': -0.0033, 'open': 15.15, 'close': 15.1}, {'query': '台耀', 'score': 6.75, 'category': 'stock', 'num': '4746', 'change_rate': -1.53, 'change_rate_new': -0.015300000000000001, 'open': 49.3, 'close': 48.25}]",2020-04-14T05:01:37.861Z,2020-04-14 13:01:37.861,2020-04-14 00:00:00.000,2020-04-14,13,1,2020-04-14,-0.012525,0.06716742135652254
"[{'query': '聯電', 'score': 8.25, 'category': 'stock', 'num': '2303', 'change_rate': -1.32, 'change_rate_new': -0.0132, 'open': 14.85, 'close': 14.9}, {'query': '明泰', 'score': 7.75, 'category': 'stock', 'num': '3380', 'change_rate': -0.24, 'change_rate_new': -0.0024, 'open': 20.75, 'close': 20.85}, {'query': '網家', 'score': 7.75, 'category': 'stock', 'num': '8044', 'change_rate': 1.39, 'change_rate_new': 0.0139, 'open': 86.7, 'close': 87.8}, {'query': '柏文', 'score': 6.75, 'category': 'stock', 'num': '8462', 'change_rate': -1.68, 'change_rate_new': -0.0168, 'open': 145.5, 'close': 146}]",2020-04-15T05:01:37.228Z,2020-04-15 13:01:37.228,2020-04-15 00:00:00.000,2020-04-15,13,2,2020-04-15,-0.004625,0.062231772032748545
"[{'query': '聯電', 'score': 8.5, 'category': 'stock', 'num': '2303', 'change_rate': 1.01, 'change_rate_new': 0.0101, 'open': 15.2, 'close': 15.05}, {'query': '網家', 'score': 8.25, 'category': 'stock', 'num': '8044', 'change_rate': -2.73, 'change_rate_new': -0.0273, 'open': 88.5, 'close': 85.4}, {'query': '明泰', 'score': 7.75, 'category': 'stock', 'num': '3380', 'change_rate': -1.44, 'change_rate_new': -0.0144, 'open': 21.5, 'close': 20.55}, {'query': '柏文', 'score': 7.25, 'category': 'stock', 'num': '8462', 'change_rate': -1.37, 'change_rate_new': -0.0137, 'open': 151, 'close': 144}]",2020-04-16T05:01:41.831Z,2020-04-16 13:01:41.831,2020-04-16 00:00:00.000,2020-04-16,13,3,2020-04-16,-0.011325000000000002,0.0502019972144776
"[{'query': '晶豪科', 'score': 8.75, 'category': 'stock', 'num': '3006', 'change_rate': 0.28, 'change_rate_new': 0.0028000000000000004, 'open': 35.9, 'close': 35.9}, {'query': '柏文', 'score': 8, 'category': 'stock', 'num': '8462', 'change_rate': 1.74, 'change_rate_new': 0.0174, 'open': 141.5, 'close': 146.5}, {'query': '聯電', 'score': 8, 'category': 'stock', 'num': '2303', 'change_rate': 0.66, 'change_rate_new': 0.0066, 'open': 15.1, 'close': 15.15}, {'query': '明泰', 'score': 7.25, 'category': 'stock', 'num': '3380', 'change_rate': 1.95, 'change_rate_new': 0.0195, 'open': 20.5, 'close': 20.95}]",2020-04-17T05:02:35.382Z,2020-04-17 13:02:35.382,2020-04-17 00:00:00.000,2020-04-17,13,4,2020-04-17,0.011574999999999998,0.06235808533223497
"[{'query': '定穎', 'score': 9.75, 'category': 'stock', 'num': '6251', 'change_rate': -2.21, 'change_rate_new': -0.022099999999999998, 'open': 20.55, 'close': 19.95}, {'query': '巨大', 'score': 8.5, 'category': 'stock', 'num': '9921', 'change_rate': -3.04, 'change_rate_new': -0.0304, 'open': 146, 'close': 143.5}, {'query': '晶技', 'score': 7, 'category': 'stock', 'num': '3042', 'change_rate': -7.11, 'change_rate_new': -0.0711, 'open': 67.5, 'close': 62.7}, {'query': '明泰', 'score': 6.75, 'category': 'stock', 'num': '3380', 'change_rate': -3.58, 'change_rate_new': -0.0358, 'open': 21.15, 'close': 20.2}]",2020-04-20T05:02:18.722Z,2020-04-20 13:02:18.722,2020-04-20 00:00:00.000,2020-04-20,13,0,2020-04-20,-0.03985,0.020023115631745414
"[{'query': '定穎', 'score': 9.25, 'category': 'stock', 'num': '6251', 'change_rate': -2.26, 'change_rate_new': -0.0226, 'open': 19.65, 'close': 19.5}, {'query': '合一', 'score': 9, 'category': 'stock', 'num': '4743', 'change_rate': 1.95, 'change_rate_new': 0.0195, 'open': 45.55, 'close': 47}, {'query': '力山', 'score': 7.5, 'category': 'stock', 'num': '1515', 'change_rate': 1.72, 'change_rate_new': 0.0172, 'open': 63.8, 'close': 65.2}, {'query': '巨大', 'score': 7, 'category': 'stock', 'num': '9921', 'change_rate': 2.79, 'change_rate_new': 0.0279, 'open': 142, 'close': 147.5}]",2020-04-21T05:04:23.887Z,2020-04-21 13:04:23.887,2020-04-21 00:00:00.000,2020-04-21,13,1,2020-04-21,0.0105,0.030733358345878647
"[{'query': '合一', 'score': 9.5, 'category': 'stock', 'num': '4743', 'change_rate': 10, 'change_rate_new': 0.1, 'open': 47.1, 'close': 51.7}, {'query': '定穎', 'score': 9.25, 'category': 'stock', 'num': '6251', 'change_rate': 2.05, 'change_rate_new': 0.020499999999999997, 'open': 19.7, 'close': 19.9}, {'query': '巨大', 'score': 7, 'category': 'stock', 'num': '9921', 'change_rate': 2.03, 'change_rate_new': 0.0203, 'open': 148, 'close': 150.5}, {'query': '矽統', 'score': 6.75, 'category': 'stock', 'num': '2363', 'change_rate': 7.83, 'change_rate_new': 0.0783, 'open': 10.95, 'close': 11.7}]",2020-04-22T05:02:13.203Z,2020-04-22 13:02:13.203,2020-04-22 00:00:00.000,2020-04-22,13,2,2020-04-22,0.05477499999999999,0.08719177804927414
"[{'query': '定穎', 'score': 9.25, 'category': 'stock', 'num': '6251', 'change_rate': -1.51, 'change_rate_new': -0.0151, 'open': 19.55, 'close': 19.6}, {'query': '合一', 'score': 8.75, 'category': 'stock', 'num': '4743', 'change_rate': 6.58, 'change_rate_new': 0.0658, 'open': 53.1, 'close': 55.1}, {'query': '巨大', 'score': 8, 'category': 'stock', 'num': '9921', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 148, 'close': 150.5}, {'query': '台勝科', 'score': 7.25, 'category': 'stock', 'num': '3532', 'change_rate': -2.16, 'change_rate_new': -0.0216, 'open': 139, 'close': 136}]",2020-04-23T05:02:15.305Z,2020-04-23 13:02:15.305,2020-04-23 00:00:00.000,2020-04-23,13,3,2020-04-23,0.0072749999999999985,0.09510109823458257
"[{'query': '寶齡富錦', 'score': 8.75, 'category': 'stock', 'num': '1760', 'change_rate': 9.91, 'change_rate_new': 0.09910000000000001, 'open': 127.5, 'close': 127.5}, {'query': '定穎', 'score': 7.75, 'category': 'stock', 'num': '6251', 'change_rate': 1.28, 'change_rate_new': 0.0128, 'open': 20, 'close': 19.85}, {'query': '合一', 'score': 7.75, 'category': 'stock', 'num': '4743', 'change_rate': 1.27, 'change_rate_new': 0.0127, 'open': 56.5, 'close': 55.8}, {'query': '晶電', 'score': 7, 'category': 'stock', 'num': '2448', 'change_rate': 6.06, 'change_rate_new': 0.060599999999999994, 'open': 39, 'close': 40.25}]",2020-04-24T05:02:18.498Z,2020-04-24 13:02:18.498,2020-04-24 00:00:00.000,2020-04-24,13,4,2020-04-24,0.0463,0.14580427908284377
"[{'query': '寶齡富錦', 'score': 9.75, 'category': 'stock', 'num': '1760', 'change_rate': -9.41, 'change_rate_new': -0.0941, 'open': 125, 'close': 115.5}, {'query': '敏成', 'score': 8.75, 'category': 'stock', 'num': '4431', 'change_rate': 15.97, 'change_rate_new': 0.1597, 'open': 132.02, 'close': 145.5}, {'query': '強茂', 'score': 8, 'category': 'stock', 'num': '2481', 'change_rate': 1.26, 'change_rate_new': 0.0126, 'open': 23.85, 'close': 24.15}, {'query': 'ABC-KY', 'score': 6.25, 'category': 'stock', 'num': '6598', 'change_rate': -16.64, 'change_rate_new': -0.1664, 'open': 78.26, 'close': 61.8}]",2020-04-27T05:01:58.504Z,2020-04-27 13:01:58.504,2020-04-27 00:00:00.000,2020-04-27,13,0,2020-04-27,-0.022049999999999997,0.1205392947290671
